addr,date_time,name,num2_bed,num_scan,pid,region_big,region_small,tel,type
조도면 창유1길 58-26,2025-02-05 00:00:00,조도면보건지소,0,3,24,전남,진도군,061-542-5153,의원
용성로 79 (동충동),2025-12-04 00:00:00,중앙가정의학과의원,0,1,25,전북,남원시,063-625-8977,의원
흑산면 예리3길 61,2025-02-21 00:00:00,흑산면보건지소,0,3,26,전남,신안군,061-275-9062,의원
고창읍 화신1길 9,2025-02-21 00:00:00,고창병원,258,10,27,전북,고창군,063-560-5600,종합병원
고흥읍 고흥로 1935,2025-02-21 00:00:00,고흥종합병원,260,12,28,전남,고흥군,061-835-6000,종합병원
공영로 71 (중동),2025-08-04 00:00:00,광양사랑병원,149,11,29,전남,광양시,061-797-7000,종합병원
의료원로 27,2025-02-06 00:00:00,군산의료원,330,23,30,전북,군산시,063-472-5000,종합병원
영산로 5419 (성북동),2025-02-21 00:00:00,나주종합병원,176,11,31,전남,나주시,061-330-6100,종합병원
충정로 365 (고죽동),2025-02-05 00:00:00,남원의료원,221,19,32,전북,남원시,063-620-1114,종합병원
이로로 18,2025-02-05 00:00:00,목포시의료원,299,14,33,전남,목포시,061-260-6500,종합병원
무안읍 몽탄로 65,2025-02-05 00:00:00,대송의료재단 무안병원,143,13,34,전남,무안군,061-450-3000,종합병원
무왕로 969 (신동),2025-02-06 00:00:00,익산병원,299,23,35,전북,익산시,063-840-9114,종합병원
장흥읍 흥성로 74,2025-02-06 00:00:00,장흥종합병원,182,8,36,전남,장흥군,061-8628-3004,종합병원
완산구 서원로 365 (중화산동1가),2025-02-05 00:00:00,전주예수병원,752,30,37,전북,전주시,063-230-8114,종합병원
충정로 606-22 (용계동),2025-12-04 00:00:00,정읍아산병원,286,15,38,전북,정읍시,063-530-6114,종합병원
해남읍 해남로 45,2025-02-06 00:00:00,해남종합병원,217,16,39,전남,해남군,061-530-0114,종합병원
영양읍 동서대로 75,2024-09-23 00:00:00,(의)명성의료재단 영양병원,49,3,40,경북,영양군,054-682-0727,병원
봉화읍 보밑길 3,2024-09-23 00:00:00,(의)봉화해성병원,93,5,41,경북,봉화군,054-674-1332,병원
성주읍 성주읍 3길 5-3,2024-09-23 00:00:00,(의)석촌의료재단 성주무강병원,55,5,42,경북,성주군,054-932-1212,병원
경안로 208,2025-04-03 00:00:00,세명종합병원,299,18,43,경북,경산시,054-819-8389,종합병원
예천읍 동본리 시장로 136,2024-09-23 00:00:00,예천권병원,170,8,44,경북,예천군,054-654-6611,병원
울진읍 현내항길 71,2024-09-23 00:00:00,울진군의료원,94,13,45,경북,울진군,054-785-7024,병원
대가야읍 중앙로 33,2024-09-23 00:00:00,고령영생병원,74,6,46,경북,고령군,054-955-2661,병원
구성로 329,2024-09-23 00:00:00,(의)청봉의료재단 성누가병원,187,5,47,경북,영주시,054-639-9000,병원
북구 용흥로 36,2024-09-23 00:00:00,경상북도립 포항노인전문요양병원,172,4,48,경북,포항시,054-245-0138,요양병원
김천로 192(남산동),2025-11-21 00:00:00,김천남산종합의원,0,4,49,경북,김천시,054-434-2111,의원
인동가산로 19길,2024-09-23 00:00:00,삼성연합의원,15,8,50,경북,구미시,054-474-8575,의원
울릉읍 울릉순환로 396-18,2024-09-23 00:00:00,울릉군보건의료원,21,9,51,경북,울릉군,054-790-6878,의원
상산로 251,2025-11-21 00:00:00,상주제일안과,0,1,52,경북,상주시,054-536-7585,의원
의성읍 문소3길 109,2024-09-23 00:00:00,진연합의원,29,8,53,경북,의성군,054-832-7587,의원
청송읍 의료원길 19,2024-09-23 00:00:00,청송군보건의료원,48,9,54,경북,청송군,054-873-7100,의원
곡중앙대로 302,2024-09-23 00:00:00,태전정형외과연합의원,0,6,55,대구,북구,053-324-7585,의원
냉림서성길 7,2025-11-21 00:00:00,(의)삼백의료재단 상주성모병원,204,12,56,경북,상주시,054-532-5001,종합병원
동대로 87,2024-09-23 00:00:00,동국대학교 경주병원,329,25,57,경북,경주시,054-748-9300,종합병원
당교3길 25,2024-12-06 00:00:00,동춘의료재단 문경제일병원,697,19,58,경북,문경시,054-550-7706,종합병원
1공단로 179(공단동),2024-11-13 00:00:00,순천향대학교 구미병원,285,23,59,경북,구미시,054-468-9114,종합병원
태사2길 55(북문동470),2024-09-23 00:00:00,안동의료원,229,19,60,경북,안동시,054-850-6451,종합병원
오수1길 10(오수동),2024-09-23 00:00:00,영남대학교부속 영천병원,200,13,61,경북,영천시,054-338-9000,종합병원
북구 용흥로 36,2024-09-23 00:00:00,포항의료원,297,18,62,경북,포항시,054-247-0551,종합병원
안계면 안계길 171,2024-06-05 00:00:00,삼성연합의원(의성),0,7,63,경북,의성군,054-861-5353,의원
부여읍 계백로 200,2025-02-05 00:00:00,건양대학교 부여병원,55,4,64,충남,부여군,041-837-1200,병원
괴산읍 임꺽정로 116,2025-02-12 00:00:00,괴산성모병원,174,11,65,충북,괴산군,043-830-5405,병원
당진중앙1로 43 (읍내동),2024-11-19 00:00:00,당진성모병원,52,3,66,충남,당진시,041-351-0200,병원
보은읍 보은로 102,2025-11-21 00:00:00,정민의료재단 보은한양병원,112,4,67,충북,보은군,043-544-1500,병원
영동읍 대학로 106,2024-11-19 00:00:00,영동병원,161,7,68,충북,영동군,043-740-9000,병원
예산읍 신례원로 26,2024-11-19 00:00:00,예산명지병원,147,7,69,충남,예산군,041-335-2255,병원
서북구 충무로 129,2024-11-19 00:00:00,예일병원,50,2,70,충남,천안시,041-571-7000,병원
금왕읍 음성로1230번길 10,2025-10-30 00:00:00,(의)태성의료재단 제일조은병원,141,8,71,충북,음성군,043-883-8800,병원
서천읍 서천로 184,2025-11-21 00:00:00,서해병원,79,3,72,충남,서천군,041-951-8282,병원
진천읍 중앙북로 36,2025-04-15 00:00:00,(의)건명의료재단 중앙제일병원,192,14,73,충북,진천군,043-533-1711,종합병원
동량면 충원대로 1398,2024-11-19 00:00:00,충주시노인전문병원,278,7,74,충북,충주시,043-855-9393,요양병원
해월로 151,2025-11-21 00:00:00,고려병원,54,6,75,충남,논산시,041-732-3489,병원
계백로 1130 (가수원동),2025-11-21 00:00:00,김봉천정형외과의원,27,6,76,대전,서구,042-541-4330,의원
영동읍 학산영동로 1241,2025-11-21 00:00:00,서외과의원,29,6,77,충북,영동군,043-742-1171,의원
조치원로 31,2025-11-21 00:00:00,이내과의원,0,1,78,세종,조치원읍,044-865-3571,의원
청양읍 칠갑산로7길 54,2024-11-19 00:00:00,청양군보건의료원,6,12,79,충남,청양군,041-942-3401,의원
태안읍 서해로 1952-16,2025-11-21 00:00:00,태안군보건의료원,34,9,80,충남,태안군,041-671-5300,의원
국원대로 82 (교현동),2025-09-15 00:00:00,건국대학교충주병원,301,25,81,충북,충주시,043-840-8200,종합병원
웅진로 130,2024-11-19 00:00:00,공주의료원,240,17,82,충남,공주시,041-962-1111,종합병원
시민로294번길 14,2025-11-21 00:00:00,백제종합병원,500,20,83,충남,논산시,041-733-2191,종합병원
죽성로 136,2024-11-19 00:00:00,보령아산병원,235,13,84,충남,보령시,041-930-5114,종합병원
중앙로 149 (석림동),2024-11-19 00:00:00,서산의료원,263,17,85,충남,서산시,041-689-7000,종합병원
옥천읍 성왕로 1195,2025-09-15 00:00:00,(의)힐링의료재단 옥천성모병원,100,12,86,충북,옥천군,043-730-7000,종합병원
홍성읍 조양로 224,2024-11-19 00:00:00,홍성의료원,269,21,87,충남,홍성군,041-630-6114,종합병원
마산회원구 3·15대로 686 (석전동),2025-02-05 00:00:00,365병원,130,12,88,경남,창원시,055-248-0365,병원
고성읍 중앙로 49,2025-02-05 00:00:00,강병원,97,7,89,경남,고성군,055-673-0101,병원
거창읍 중앙로 91,2025-02-05 00:00:00,거창적십자병원,58,7,90,경남,거창군,055-949-3332,병원
사상로 607,2025-12-12 00:00:00,구포부민병원,138,5,91,부산,북구,051-366-7000,병원
기장읍 대청로72번길 6,2025-09-16 00:00:00,기장병원,154,8,92,부산,기장군,051-712-7150,병원
남해읍 화전로 169,2025-02-05 00:00:00,남해병원,142,8,93,경남,남해군,055-863-2201,병원
의창구 평산로219번길 3,2025-12-15 00:00:00,메트로병원,240,6,94,경남,창원시,055-259-7700,병원
남강로 701,2025-12-15 00:00:00,반도병원,145,9,95,경남,진주시,055-747-6000,병원
일주동로 8638 (동홍동),2025-12-15 00:00:00,서귀포열린병원,73,6,96,제주,서귀포시,064-762-8001,병원
학성로 184,2025-12-12 00:00:00,(의)에스엠씨의료재단 울산세민병원,135,7,97,울산,중구,052-292-2000,병원
산천단남길 10,2025-12-15 00:00:00,제주의료원,184,8,98,제주,제주시,064-720-2222,병원
감천로 59 (감천동),2025-08-28 00:00:00,중앙U병원,143,6,99,부산,사하구,051-220-6304,병원
진해구 중원동로 55-1,2025-12-15 00:00:00,진해세광병원,160,4,100,경남,창원시,055-540-3700,병원
중앙로 97,2025-02-21 00:00:00,통영적십자병원,93,7,101,경남,통영시,055-644-8901,병원
함양읍 고운로 70,2025-02-21 00:00:00,함양성심병원,102,3,102,경남,함양군,055-963-4322,병원
하남읍 수산중앙로 56-2,2025-12-15 00:00:00,행복한병원,60,3,103,경남,밀양시,055-391-0090,병원
관덕로 30,2024-02-29 00:00:00,늘봄재활요양병원,149,1,104,제주,제주시,064-752-0022,요양병원
의창구 창원천로94번길 82-18 (대원동),2025-12-15 00:00:00,푸른요양병원,364,11,105,경남,창원시,055-270-8888,요양병원
한림읍 한림로 652,2025-02-04 00:00:00,문의원,0,3,106,제주,제주시,064-796-0160,의원
의령읍 충익로 23-6,2025-02-05 00:00:00,복음의원,0,9,107,경남,의령군,055-573-9977,의원
태종로 160,2025-12-12 00:00:00,수도의원,0,11,108,부산,영도구,051-416-4031,의원
산청읍 웅석봉로 18,2025-02-21 00:00:00,청송의원,0,7,109,경남,산청군,055-973-5422,의원
두모길 16,2025-02-05 00:00:00,대우병원,202,23,110,경남,거제시,055-680-8114,종합병원
마산합포구 3·15대로 231,2025-02-05 00:00:00,마산의료원,298,13,111,경남,창원시,055-249-1000,종합병원
장수로 47,2025-02-05 00:00:00,서귀포의료원,220,18,112,제주,서귀포시,064-730-3160,종합병원
삼남읍 중평로 53,2025-02-21 00:00:00,서울산보람병원,156,12,113,울산,울주군,052-255-7114,종합병원
월평로171번길 13,2025-02-06 00:00:00,울산병원,303,19,114,울산,남구,052-259-5133,종합병원
아란13길 15,2025-02-21 00:00:00,제주대학교병원,600,27,115,제주,제주시,064-717-1123,종합병원
도령로 65 (연동),2025-02-05 00:00:00,제주한라병원,442,25,116,제주,제주시,064-740-5342,종합병원
진해구 해원로32번길 13,2025-02-05 00:00:00,연세에스병원,214,11,117,경남,창원시,055-548-7700,종합병원
일산로 20,2026-01-15 00:00:00,원주세브란스기독병원,646,29,118,강원,원주시,033-741-0114,3차병원
일산서구 주화로 170,2025-02-06 00:00:00,인제대학교 일산백병원,550,19,119,경기,고양시,031-910-7114,종합병원
강화읍 강화대로312번길 11,2025-02-04 00:00:00,강화병원,98,7,120,인천,강화군,032-930-8151,병원
정선읍 봉양1길 145,2025-02-06 00:00:00,근로복지공단 정선병원,169,3,121,강원,정선군,033-560-7100,병원
진접읍 해밀예당1로 30-25,2023-11-28 00:00:00,남양주백병원,109,9,122,경기,남양주시,031-572-3111,병원
남부순환로 331 (신월동),2025-05-30 00:00:00,메디힐병원,118,9,123,서울,양천구,02-2604-7551,병원
남부순환로 1860 (봉천동),2025-02-06 00:00:00,사랑의병원,74,7,124,서울,관악구,02-880-0114,병원
동일로 1678 (상계동),2025-02-06 00:00:00,새서울연합의원,29,8,125,서울,노원구,02-930-5858,의원
오전천로 29,2025-02-21 00:00:00,아가페의료재단 시티병원,176,6,126,경기,의왕시,031-340-0114,병원
회정로 103,2025-02-06 00:00:00,양주예쓰병원,132,5,127,경기,양주시,031-825-5000,병원
양평읍 중앙로 129,2025-07-08 00:00:00,양평병원,77,6,128,경기,양평군,031-770-5000,병원
화도읍 경춘로 1943-16,2025-02-06 00:00:00,원병원,151,10,129,경기,남양주시,031-590-3114,병원
당산로31길 10 (당산동3가),2025-02-06 00:00:00,(의)영등포병원,89,7,130,서울,영등포구,02-2632-0013,병원
금강로 39,2025-02-25 00:00:00,인성병원,112,7,131,강원,춘천시,033-253-3030,병원
인제읍 비봉로15번길 4,2025-02-06 00:00:00,인제고려병원,42,3,132,강원,인제군,033-461-0088,병원
백령면 백령로 233,2025-02-21 00:00:00,인천광역시의료원 백령병원,30,8,133,인천,옹진군,032-836-1731,병원
설악면 미사리로 267-177,2026-01-15 00:00:00,HJ매그놀리아국제병원,99,11,134,경기,가평군,031-589-4300,병원
신평로 51 (신장동),2026-01-15 00:00:00,햇살병원,62,4,135,경기,하남시,031-791-7330,병원
독배로 503 (숭의동),2025-02-21 00:00:00,현대유비스병원,299,16,136,인천,미추홀구,032-890-5551,종합병원
상지대길 23,2026-01-15 00:00:00,현대중앙병원,31,5,137,강원,원주시,033-747-1199,병원
횡성읍 횡성로 275,2025-02-06 00:00:00,횡성대성병원,103,7,138,강원,횡성군,033-343-0901,병원
인주대로 806 (구월동),2024-12-27 00:00:00,봄날요양병원,189,15,139,인천,남동구,032-464-9101,요양병원
"화랑로 271 (장위동, 동원베네스트)",2025-01-08 00:00:00,(의)유라의료재단 온누리요양병원,210,6,140,서울,성북구,02-919-2700,요양병원
가평읍 가화로 75,2025-02-06 00:00:00,가평성모의원,0,7,141,경기,가평군,031-582-1833,의원
백범로 51길 6,2025-01-08 00:00:00,김내과의원,0,3,142,서울,용산구,02-703-2226,의원
효령로 396 (서초동),2025-03-06 00:00:00,김일중내과의원,0,1,143,서울,서초구,02-3473-1356,의원
독막로 22 (합정동),2025-01-08 00:00:00,박상수내과의원,0,2,144,서울,마포구,02-332-5460,의원
동일로 1548 (상계동),2026-01-15 00:00:00,밝은미래안과,0,1,145,서울,노원구,02-939-3075,의원
노해로 482 (상계동),2026-01-15 00:00:00,노원삼성드림이비인후과의원,5,3,146,서울,노원구,02-935-1365,의원
양양읍 양양로 9-1,2025-02-06 00:00:00,양양정형외과,0,5,147,강원,양양군,033-672-6722,의원
동일로 1401 (상계동),2026-01-15 00:00:00,어비뇨기과,3,3,148,서울,노원구,02-930-0131,의원
"시흥대로 224,  4층",2025-01-08 00:00:00,연세조내과의원,0,3,149,서울,금천구,02-803-2134,의원
전곡읍 은대성로 95,2025-02-06 00:00:00,연천군보건의료원,52,7,150,경기,연천군,031-839-4001,의원
영중로 46 (영등포동5가),2026-01-15 00:00:00,윤문수비뇨기과의원,2,1,151,서울,영등포구,02-2069-0221,의원
퇴촌면 광동로 73-8,2025-02-06 00:00:00,퇴촌중앙의원,0,7,152,경기,광주시,031-766-6211,의원
평창읍 종부로 61,2025-02-06 00:00:00,평창군보건의료원,20,10,153,강원,평창군,033-332-4000,의원
통일로 442 (홍제동),2025-01-08 00:00:00,한양그린내과의원,0,6,154,서울,서대문구,02-379-3377,의원
사가정로 110 (전농동),2025-02-06 00:00:00,현대중앙의원,26,9,155,서울,동대문구,02-2244-9600,의원
화천읍 강변로 111,2025-01-07 00:00:00,화천군보건의료원,19,7,156,강원,화천군,033-442-4424,의원
국제금융로 6길 33 6층,2026-01-15 00:00:00,제이씨빛소망안과,16,1,157,서울,영등포구,02-785-1068,의원
강릉대로419번길 42,2025-02-06 00:00:00,강릉동인병원,478,20,158,강원,강릉시,033-651-6167,종합병원
백령로 156 (효자동),2025-02-06 00:00:00,강원대학교병원,563,20,159,강원,춘천시,033-258-2000,종합병원
포천로 1648,2025-02-06 00:00:00,경기도립의료원 포천병원,159,12,160,경기,포천시,031-539-9114,종합병원
장안구 수성로245번길 69,2025-01-23 00:00:00,경기도립의료원 수원병원,167,14,161,경기,수원시,031-888-0114,종합병원
고수2로 17 (당왕동),2025-02-21 00:00:00,경기도의료원 안성병원,249,14,162,경기,안성시,031-8046-5000,종합병원
흥선로 142,2025-02-06 00:00:00,경기도립의료원 의정부병원,128,13,163,경기,의정부시,031-828-5000,종합병원
중앙로 207 (금촌동),2025-02-21 00:00:00,경기도의료원 파주병원,200,14,164,경기,파주시,031-940-9100,종합병원
디지털로 36 (철산동),2025-02-04 00:00:00,광명성애병원,269,24,165,경기,광명시,02-2680-7114,종합병원
보드미길 8,2025-02-21 00:00:00,근로복지공단 태백병원,366,14,166,강원,태백시,033-580-3114,종합병원
감암로 11,2025-02-04 00:00:00,김포우리병원,505,23,167,경기,김포시,031-999-1231,종합병원
처인구 백옥대로1082번길 18,2025-03-06 00:00:00,(의)영문의료재단 다보스병원,251,12,168,경기,용인시,031-8021-2114,종합병원
팔달구 중부대로 165 (우만동),2025-02-06 00:00:00,동수원병원,377,19,169,경기,수원시,031-210-0114,종합병원
하평로 26,2025-02-06 00:00:00,동해동인병원,200,13,170,강원,동해시,033-530-0114,종합병원
부평대로 175,2025-02-04 00:00:00,부평세림병원,254,17,171,인천,부평구,032-509-5750,종합병원
오십천로 418 (남양동),2025-02-06 00:00:00,삼척의료원,126,13,172,강원,삼척시,033-572-1141,종합병원
만안구 삼덕로 9,2025-02-06 00:00:00,안양샘병원,330,20,173,경기,안양시,031-467-9114,종합병원
새문안로 9 (평동),2025-02-21 00:00:00,서울적십자병원,274,19,174,서울,종로구,02-2002-8000,종합병원
중원구 산성대로476번길 12,2025-02-06 00:00:00,성남중앙병원,173,14,175,경기,성남시,031-743-3000,종합병원
공단1대로 237,2025-01-08 00:00:00,센트럴병원,253,16,176,경기,시흥시,031-8041-3000,종합병원
영랑호반길 3,2025-01-07 00:00:00,속초의료원,147,18,177,강원,속초시,033-630-6000,종합병원
영월읍 중앙1로 59,2025-02-06 00:00:00,영월의료원,202,18,178,강원,영월군,033-370-9101,종합병원
기흥구 중부대로 411 (신갈동),2025-02-06 00:00:00,용인강남병원,293,15,179,경기,용인시,031-300-0114,종합병원
장제로 722 (작전동),2023-06-26 00:00:00,(의)인성의료재단 한림병원,414,23,180,인천,계양구,032-540-9114,종합병원
방축로 217,2025-02-05 00:00:00,인천광역시의료원,305,21,181,인천,동구,032-580-6000,종합병원
갈말읍 명성로 208,2025-04-03 00:00:00,철원병원,68,7,182,강원,철원군,033-452-5011,병원
향남읍 발안로 5,2025-01-08 00:00:00,화성중앙병원,143,9,183,경기,화성시,031-352-8114,종합병원
금산읍 후곤천길 56,2025-12-12 00:00:00,금산365의원,25,8,184,충남,금산군,041-754-9365,의원
태안읍 동문1길 15,2025-12-12 00:00:00,이신경외과의원,0,10,185,충남,태안군,041-674-6006,의원
관악로 203 2층,2025-07-08 00:00:00,손장원정형외과의원,0,5,186,서울,관악구,02-872-3900,의원
순광로 221,2025-02-06 00:00:00,순천성가롤로병원,555,21,187,전남,순천시,061-720-2000,종합병원
소사구 경인로 110번길 14,2025-02-21 00:00:00,메디홀스요양병원,342,3,188,경기,부천시,032-667-0100,요양병원
내토로 991,2025-02-12 00:00:00,명지의료재단 명지병원,221,16,189,충북,제천시,043-640-8114,종합병원
홍천읍 산림공원1길 17,2025-01-23 00:00:00,홍천아산병원,128,7,190,강원,홍천군,033-430-5151,종합병원
강서로56길 38 (등촌동),2025-01-23 00:00:00,강서힘찬병원,113,7,191,서울,강서구,1899-2228,병원
계성3길 31-4 (읍내동),2024-11-19 00:00:00,서울신경외과의원,0,6,192,충남,당진시,041-352-2166,의원
수영로 175 (대연동),2025-11-19 00:00:00,부산성소병원,203,8,193,부산,남구,051-633-1123,병원
서천읍 충절로59번길 31-7,2024-09-26 00:00:00,공정형외과의원,26,8,194,충남,서천군,041-952-0788,의원
서동로 162,2025-12-12 00:00:00,세웅병원,228,10,195,부산,금정구,051-500-9700,병원
월라2길 45,2025-12-15 00:00:00,신세계요양병원,37,6,196,경남,양산시,055-365-6666,요양병원
독막로 22 (합정동),2025-02-25 00:00:00,예담정형외과의원,0,5,197,서울,마포구,02-335-2500,의원
엄사면 번영로 14,2025-08-25 00:00:00,김광석외과의원,0,5,198,충남,계룡시,042-841-4411,의원
진주대로 885,2025-02-05 00:00:00,진주제일병원,188,16,199,경남,진주시,055-750-7123,종합병원
동광로 53,2025-01-08 00:00:00,동두천중앙성모병원,172,15,200,경기,동두천시,031-863-0550,병원
백릉로 70,2025-02-21 00:00:00,(의)성하의료재단 누가병원,145,3,201,전북,군산시,063-450-0904,병원
소안면 소안로 213-1 소안면보건지소,2025-02-21 00:00:00,소안면 보건지소,0,3,202,전남,완도군,061-550-6861,의원
연초면 거제대로 4477,2025-02-11 00:00:00,맑은샘병원,200,6,203,경남,거제시,055-736-1004,종합병원
상당구 쇠내로 16,2025-02-12 00:00:00,효성병원,397,31,204,충북,청주시,043-221-5000,종합병원
경안로 40,2025-05-09 00:00:00,더플러스병원,62,5,205,경기,광주시,031-763-7582,병원
경안로 23-10,2025-04-15 00:00:00,경북도립경산노인전문요양병원,299,5,206,경북,경산시,053-819-0700,요양병원
양구읍 중심로 160,2025-10-27 00:00:00,양구성심병원,49,5,207,강원,양구군,033-480-8800,병원
거진읍 거진시장길 11,2025-12-03 00:00:00,세브란의원,0,8,208,강원,고성군,033-682-7755,의원
고읍남로 6,2026-01-15 00:00:00,21세기내과의원,0,3,209,경기,양주시,031-847-8600,의원
방어진순환도로 577,2025-12-12 00:00:00,마디정형외과의원,27,1,210,울산,동구,052-235-5858,의원
"동안구 관악대로 458 (관양동, 서진빌딩)",2026-01-15 00:00:00,김형근예병원,56,7,211,경기,안양시,031-421-7575,병원
주덕읍 신양로 62,2024-09-26 00:00:00,송원요양병원,199,5,212,충북,충주시,043-856-3501,요양병원
경인로 40길 11,2024-06-04 00:00:00,권경수내과의원,0,2,213,서울,구로구,02-2685-6612,의원
문화로 381 (모종동),2024-07-18 00:00:00,아산충무병원,488,30,214,충남,아산시,041-536-6666,종합병원
원문로 1419 (연세메디하임),2026-01-15 00:00:00,연세메디하임병원,179,3,215,강원,원주시,033-740-8800,병원
안현로서6길 16 (성심중앙병원),2024-09-05 00:00:00,성심중앙병원,81,4,216,경기,평택시,031-681-1118,병원
서암4길 45 (서암동),2024-10-07 00:00:00,김제우석병원,187,6,217,전북,김제시,063-540-5159,병원
중앙로 34 영암내과,2024-11-12 00:00:00,영암내과의원,0,6,218,전남,영암군,061-472-0055,의원
금성로 281 (성건동),2024-11-14 00:00:00,중앙요양병원,255,4,219,경북,경주시,054-773-8500,요양병원
"청심로 47 (하동, 여주고려병원)",2025-07-08 00:00:00,세종여주병원,120,12,220,경기,여주,031-880-7700,종합병원
하동읍 중앙로 15 2층(경남은행),2025-02-05 00:00:00,서울안과,0,1,221,경남,하동군,055-882-2075,의원
연화길 6 하동중앙내과정형외과의원,2025-02-05 00:00:00,하동중앙의원,29,11,222,경남,하동군,055-883-0222,의원
"의창구 창이대로 45 (명서동, 창원파티마병원)",2025-02-05 00:00:00,창원파티마병원,422,23,223,경남,창원시,055-270-1109,종합병원
"용마산로 44 (중곡동, 삼경빌딩)",2025-01-23 00:00:00,김종웅내과의원,0,2,224,서울,광진구,02-455-4038,의원
"흥덕구 비하로 65 (비하동, 현대병원)",2025-01-15 00:00:00,청주현대병원,175,4,225,충북,청주시,043-237-2114,병원
산업로 1007,2024-04-12 00:00:00,울산시티병원,350,17,226,울산,북구,052-280-9101,종합병원
진안읍 진무로 1145,2025-02-21 00:00:00,진안군의료원,74,10,227,전북,진안군,063-430-7000,병원
홍천읍 신장대로 47-1,2025-02-06 00:00:00,서울드림의원,0,1,228,강원,홍천군,033-433-3354,의원
덕진구 동부대로 895 (호성동1가) 호성전주병원,2025-04-15 00:00:00,호성전주병원,122,8,229,전북,전주시,063-240-8800,병원
원화로 312(성동동) 큰마디병원,2025-04-15 00:00:00,큰마디큰병원,101,4,230,경북,경주시,054-700-0119,병원
독산로 210 (독산동) K빌딩 2층 (독산동1038-28),2025-05-30 00:00:00,서울으뜸정형외과의원,2,5,231,서울,금천구,02-807-0111,의원
충렬대로 255 (수안동),2025-05-07 00:00:00,(의)상원의료재단 부산힘찬병원,145,4,232,부산,동래구,051-559-0120,병원
신길로 28 (신길동) 4층 김종률내과의원,2025-09-02 00:00:00,신풍내과의원,0,2,233,서울,영등포구,02-831-1585,의원
해남읍 중앙2로 123 해남한국병원,2025-12-04 00:00:00,해남한국병원,85,2,234,전남,해남군,061-530-3000,병원
오리로 518 (소하동) 대교빌딩 4층 광명새움병원,2026-01-15 00:00:00,광명새움병원,55,5,235,경기,광명시,1661-6888,병원
은평로 133 (응암동) 본서부병원,2026-01-15 00:00:00,본서부병원,49,5,236,서울,은평구,02-3156-5000,병원
"국제금융로 86 (여의도동, 롯데캐슬 아이비) 216호 아이비이비인후과",2026-01-15 00:00:00,아이비이비인후과의원,1,1,237,서울,영등포구,02-784-7533,의원
통진읍 김포대로2230번길 21-3 박원종내과의원,2023-12-26 00:00:00,박원종내과의원,0,5,238,경기,김포시,031-996-3722,의원
가야읍 중앙남1길 34,2024-02-22 00:00:00,참사랑의원,0,2,239,경남,함안군,055-583-1929,의원
문산읍 방촌로 1675-20,2024-02-29 00:00:00,무척조은병원,119,6,240,경기,파주시,031-954-1400,병원
