addr1,addr2,date_time,fax,latitude,longitude,name,pid,region_big,region_small,tel,type,use_yn,zipcd
전남 신안군,흑산면 예리3길 61,2003-08-18 00:00:00,061-240-8837,34.6873489,125.4458703,흑산면보건지소,26,군,전남,061-275-9062,의원,Y,58863
전북 고창군,고창읍 화신1길 9,2002-03-06 00:00:00,063-563-4549,35.4364207,126.6936630,고창병원,27,군,전북,063-560-5600,종합병원,Y,56436
전남 고흥군,고흥읍 고흥로 1935,1999-12-23 00:00:00,061-832-1999,34.6210043,127.2939397,고흥종합병원,28,군,전남,061-835-6000,종합병원,Y,59535
전남 광양시,공영로 71 (중동),2002-07-11 00:00:00,061-797-7878,34.9352802,127.6956670,광양사랑병원,29,시,전남,061-797-7000,종합병원,Y,57788
전북 군산시,의료원로 27,1999-03-23 00:00:00,063-472-5460,35.9548898,126.7119167,군산의료원,30,시,전북,063-472-5000,종합병원,Y,54105
전남 나주시,영산로 5419 (성북동),2002-11-15 00:00:00,061-330-6101,35.0362514,126.7192551,나주종합병원,31,시,전남,061-330-6100,종합병원,Y,58251
전북 남원시,충정로 365 (고죽동),1994-12-22 00:00:00,063-632-3337,35.4214398,127.3945969,남원의료원,32,시,전북,063-620-1114,종합병원,Y,55726
전남 목포시,이로로 18,1990-02-23 00:00:00,061-279-3242,34.8041235,126.4053521,목포시의료원,33,시,전남,061-260-6500,종합병원,Y,58701
전남 무안군,무안읍 몽탄로 65,2002-12-26 00:00:00,061-450-3253,34.9914382,126.4891531,대송의료재단 무안병원,34,군,전남,061-450-3000,종합병원,Y,58532
전북 익산시,무왕로 969 (신동),2001-06-18 00:00:00,063-840-9458,35.9580356,126.9622373,익산병원,35,시,전북,063-840-9114,종합병원,Y,54543
전남 장흥군,장흥읍 흥성로 74,2005-02-10 00:00:00,061-863-1132,34.6770898,126.9111921,장흥종합병원,36,군,전남,061-8628-3004,종합병원,Y,59325
전북 전주시,완산구 서원로 365 (중화산동1가),1990-12-24 00:00:00,063-230-8115,35.8154717,127.1261963,전주예수병원,37,시,전북,063-230-8114,종합병원,Y,54987
전북 정읍시,충정로 606-22 (용계동),1991-12-18 00:00:00,063-530-6624,35.5720587,126.8490295,정읍아산병원,38,시,전북,063-530-6114,종합병원,Y,56153
전남 해남군,해남읍 해남로 45,2002-02-01 00:00:00,061-533-4556,34.5716031,126.6130203,해남종합병원,39,군,전남,061-530-0114,종합병원,Y,59024
경북 영양군,영양읍 동서대로 75,2002-01-01 00:00:00,054-683-2996,36.6625188,129.1172504,(의)명성의료재단 영양병원,40,군,경북,054-682-0727,병원,Y,36541
경북 봉화군,봉화읍 보밑길 3,2002-01-01 00:00:00,054-674-0010,36.8916206,128.7333926,(의)봉화해성병원,41,군,경북,054-674-1332,병원,Y,36239
경북 성주군,성주읍 성주읍 3길 5-3,2003-01-01 00:00:00,054-933-5639,35.9188037,128.2864166,(의)석촌의료재단 성주병원,42,군,경북,054-932-1212,병원,Y,40026
경북 경산시,경안로 208,2008-11-01 00:00:00,054-819-8551,35.8260728,128.7372057,세명종합병원,43,시,경북,054-819-8389,종합병원,Y,38619
경북 예천군,예천읍 동본리 시장로 136,2000-07-01 00:00:00,054-654-2750,36.6573136,128.4590263,예천권병원,44,군,경북,054-654-6611,병원,Y,36820
경북 울진군,울진읍 현내항길 71,2003-03-13 00:00:00,054-785-7030,36.9927492,129.4100665,울진군의료원,45,군,경북,054-785-7024,병원,Y,36324
경북 고령군,대가야읍 중앙로 33,2003-01-01 00:00:00,054-955-8100,35.7261415,128.2629530,고령영생병원,46,군,경북,054-955-2661,병원,Y,40135
경북 김천시,김천로 192(남산동),2010-01-01 00:00:00,054-434-7301,36.1238795,128.1117637,김천남산종합의원,47,시,경북,054-434-2111,의원,Y,39596
경북 구미시,인동가산로 19길,2008-11-01 00:00:00,054-474-8571,36.0989172,128.4522122,삼성연합의원,48,시,경북,054-474-8575,의원,Y,39431
경북 울릉군,울릉읍 울릉순환로 396-18,1993-03-01 00:00:00,054-790-6879,37.4899374,130.8985208,울릉군보건의료원,49,군,경북,054-790-6878,의원,Y,40217
경북 상주시,상산로 251,2010-01-01 00:00:00,054-536-7586,36.4132887,128.1592496,상주제일안과,50,시,경북,054-536-7585,의원,Y,37198
경북 의성군,의성읍 문소3길 109,2010-11-01 00:00:00,054-832-7586,36.3555200,128.6938308,진연합의원,51,군,경북,054-832-7587,의원,Y,37335
경북 청송군,청송읍 의료원길 19,1995-01-01 00:00:00,054-873-7108,36.4310601,129.0522753,청송군보건의료원,52,군,경북,054-873-7100,의원,Y,37433
대구시 북구,곡중앙대로 302,2008-11-01 00:00:00,053-324-7530,35.9121522,128.5489762,태전정형외과연합의원,53,구,대구,053-324-7585,의원,Y,41462
경북 상주시,냉림서성길 7,1993-03-01 00:00:00,054-531-0017,36.4207960,128.1599753,(의)삼백의료재단 상주성모병원,54,시,경북,054-532-5001,종합병원,Y,37179
경북 경주시,동대로 87,2010-11-01 00:00:00,054-770-8501,35.8583073,129.1954409,동국대학교 경주병원,55,시,경북,054-748-9300,종합병원,Y,38067
경북 문경시,당교3길 25,1995-01-01 00:00:00,054-552-5664,36.5843256,128.1891835,동춘의료재단 문경제일병원,56,시,경북,054-550-7706,종합병원,Y,36986
경북 구미시,1공단로 179(공단동),2002-01-01 00:00:00,054-463-7504,36.1040701,128.3843467,순천향대학교 구미병원,57,시,경북,054-468-9114,종합병원,Y,39371
경북 안동시,태사2길 55(북문동470),1993-03-01 00:00:00,054-858-6434,36.5681036,128.7318687,안동의료원,58,시,경북,054-850-6451,종합병원,Y,36694
경북 영천시,오수1길 10(오수동),2000-07-01 00:00:00,054-330-7580,35.9579915,128.9131198,영남대학교부속 영천병원,59,시,경북,054-338-9000,종합병원,Y,38840
경북 포항시,북구 용흥로 36,1993-03-31 00:00:00,054-247-4911,36.0350941,129.3544868,포항의료원,60,시,경북,054-247-0551,종합병원,Y,37688
경북 의성군,안계면 안계길 171,2012-06-14 00:00:00,054-861-1231,36.3863022,128.4346149,삼성연합의원(의성),61,군,경북,054-861-5353,의원,Y,37313
충남 부여군,부여읍 계백로 200,2003-02-01 00:00:00,041-837-1210,36.2757210,126.9010699,건양대학교 부여병원,62,군,충남,041-837-1200,병원,Y,33169
충북 괴산군,괴산읍 임꺽정로 116,2011-01-03 00:00:00,043-834-3901,36.8154141,127.7842382,괴산성모병원,63,군,충북,043-830-5405,병원,Y,28027
충남 당진시,당진중앙1로 43 (읍내동),2003-02-01 00:00:00,041-351-0220,36.8986377,126.6329937,당진성모병원,64,시,충남,041-351-0200,병원,Y,31769
충북 보은군,보은읍 보은로 102,2002-09-01 00:00:00,043-544-1100,36.4832783,127.7182865,정민의료재단 보은한양병원,65,군,충북,043-544-1500,병원,Y,28949
충북 영동군,영동읍 대학로 106,2008-12-05 00:00:00,043-740-9001,36.1852219,127.7810064,영동병원,66,군,충북,043-740-9000,병원,Y,29134
충남 예산군,예산읍 신례원로 26,2006-09-11 00:00:00,041-334-2255,36.7129157,126.8338620,예산명지병원,67,군,충남,041-335-2255,병원,Y,32423
충남 천안시,서북구 충무로 129,2008-11-24 00:00:00,041-578-7511,36.7930172,127.1217545,예일병원,68,시,충남,041-571-7000,병원,Y,31174
충북 음성군,금왕읍 음성로1230번길 10,2011-08-12 00:00:00,043-877-4600,36.9974781,127.5985210,(의)태성의료재단 제일조은병원,69,군,충북,043-883-8800,병원,Y,27627
충남 서천군,서천읍 서천로 184,2003-02-01 00:00:00,041-951-8300,36.0844803,126.6876312,서해병원,70,군,충남,041-951-8282,병원,Y,33635
충북 진천군,진천읍 중앙북로 36,2002-03-01 00:00:00,043-534-8898,36.8583120,127.4406201,(의)건명의료재단 중앙제일병원,71,군,충북,043-533-1711,종합병원,Y,27832
충북 충주시,동량면 충원대로 1398,2008-11-24 00:00:00,043-855-8866,37.0483971,127.9309571,충주시노인전문병원,72,시,충북,043-855-9393,요양병원,Y,27442
충남 논산시,해월로 151,2010-01-01 00:00:00,041-732-2572,36.2043035,127.0836998,고려병원,73,시,충남,041-732-3489,병원,Y,32951
대전시 서구,계백로 1130 (가수원동),2010-01-01 00:00:00,042-541-4333,36.3023346,127.3521635,김봉천정형외과의원,74,구,대전,042-541-4330,의원,Y,35385
충북 영동군,영동읍 학산영동로 1241,2010-01-01 00:00:00,043-744-1839,36.1734830,127.7729420,서외과의원,75,군,충북,043-742-1171,의원,Y,29149
세종시,조치원읍 조치원로 31,2010-01-01 00:00:00,044-867-5825,36.5924922,127.2921328,이내과의원,76,시,세종,044-865-3571,의원,Y,30024
충남 청양군,청양읍 칠갑산로7길 54,2003-03-01 00:00:00,041-940-4509,36.4551521,126.8049308,청양군보건의료원,77,군,충남,041-942-3401,의원,Y,33324
충남 태안군,태안읍 서해로 1952-16,2003-02-01 00:00:00,041-671-5218,36.7519439,126.3229392,태안군보건의료원,78,군,충남,041-671-5300,의원,Y,32148
충북 충주시,국원대로 82 (교현동),2002-02-01 00:00:00,043-840-8964,36.9891443,127.9287458,건국대학교충주병원,79,시,충북,043-840-8200,종합병원,Y,27376
충남 공주시,웅진로 130,1997-11-01 00:00:00,041-962-1219,36.4518729,127.1248194,공주의료원,80,시,충남,041-962-1111,종합병원,Y,32563
충남 논산시,시민로294번길 14,2000-07-01 00:00:00,041-735-1639,36.1923478,127.0943895,백제종합병원,81,시,충남,041-733-2191,종합병원,Y,32980
충남 보령시,죽성로 136,1998-01-01 00:00:00,041-930-5133,36.3805499,126.6232855,보령아산병원,82,시,충남,041-930-5114,종합병원,Y,33428
충남 서산시,중앙로 149 (석림동),1998-01-01 00:00:00,041-689-8010,36.7844993,126.4503169,서산의료원,83,시,충남,041-689-7000,종합병원,Y,32001
충북 옥천군,옥천읍 성왕로 1195,1998-01-01 00:00:00,043-730-7100,36.3137075,127.5719490,(의)힐링의료재단 옥천성모병원,84,군,충북,043-730-7000,종합병원,Y,29031
충남 홍성군,홍성읍 조양로 224,1998-01-01 00:00:00,041-630-6380,36.5988023,126.6743322,홍성의료원,85,군,충남,041-630-6114,종합병원,Y,32232
경남 창원시,마산회원구 3·15대로 686 (석전동),2011-11-10 00:00:00,055-248-0362,35.2300216,128.5802661,365병원,86,시,경남,055-248-0365,병원,Y,51316
경남 고성군,고성읍 중앙로 49,2010-06-01 00:00:00,055-672-5700,34.9741735,128.3252156,강병원,87,군,경남,055-673-0101,병원,Y,52942
경남 거창군,거창읍 중앙로 91,1998-04-01 00:00:00,055-943-7649,35.6866286,127.9100200,거창적십자병원,88,군,경남,055-949-3332,병원,Y,50132
부산시 북구,사상로 607,2010-01-01 00:00:00,051-366-7115,35.1982749,128.9906321,구포부민병원,89,구,부산,051-366-7000,병원,Y,46504
부산시 기장군,기장읍 대청로72번길 6,2002-06-01 00:00:00,051-724-0171,35.2358805,129.2164460,기장병원,90,군,부산,051-712-7150,병원,Y,46072
경남 남해군,남해읍 화전로 169,1998-04-01 00:00:00,055-860-6767,34.8461640,127.8943923,남해병원,91,군,경남,055-863-2201,병원,Y,52417
경남 창원시,의창구 평산로219번길 3,2008-11-10 00:00:00,055-259-7788,35.2608147,128.6258478,메트로병원,92,시,경남,055-259-7700,병원,Y,51370
경남 진주시,남강로 701,2008-11-20 00:00:00,055-743-2932,35.1917777,128.0881618,반도병원,93,시,경남,055-747-6000,병원,Y,52758
제주도 서귀포시,일주동로 8638 (동홍동),2010-01-01 00:00:00,064-733-8006,33.2523213,126.5723954,서귀포열린병원,94,시,제주,064-762-8001,병원,Y,63585
울산시 중구,학성로 184,2008-11-10 00:00:00,052-292-2019,35.5565880,129.3309785,(의)에스엠씨의료재단 울산세민병원,95,구,울산,052-292-2000,병원,Y,44521
제주도 제주시,산천단남길 10,2010-01-01 00:00:00,064-724-2102,33.4452709,126.5601453,제주의료원,96,시,제주,064-720-2222,병원,Y,63243
부산시 사하구,감천로 59 (감천동),2011-12-01 00:00:00,051-292-1267,35.0842043,129.0096785,중앙U병원,97,구,부산,051-220-6304,병원,Y,49371
경남 창원시,진해구 중원동로 55-1,2008-11-10 00:00:00,055-540-3711,35.1497860,128.6609432,진해세광병원,98,시,경남,055-540-3700,병원,Y,51679
경남 통영시,중앙로 97,1998-04-01 00:00:00,055-645-8908,34.8422443,128.4199180,통영적십자병원,99,시,경남,055-644-8901,병원,Y,53061
경남 함양군,함양읍 고운로 70,1998-04-01 00:00:00,055-963-7689,35.5208588,127.7302425,함양성심병원,100,군,경남,055-963-4322,병원,Y,50039
경남 밀양시,하남읍 수산중앙로 56-2,2010-01-01 00:00:00,055-391-0085,35.3746864,128.7113696,행복한병원,101,시,경남,055-391-0090,병원,Y,50460
경남 창원시,의창구 창원천로94번길 82-18 (대원동),2008-11-10 00:00:00,055-270-8886,35.2378719,128.6573817,푸른요양병원,102,시,경남,055-270-8888,요양병원,Y,51409
경남 의령군,의령읍 충익로 23-6,2007-09-01 00:00:00,055-573-9976,35.3182881,128.2619126,복음의원,103,군,경남,055-573-9977,의원,Y,52149
부산시 영도구,태종로 160,2008-11-10 00:00:00,051-418-9292,35.0934178,129.0461788,수도의원,104,구,부산,051-416-4031,의원,Y,49057
경남 산청군,산청읍 웅석봉로 18,2009-03-02 00:00:00,055-973-8926,35.4156319,127.8758824,청송의원,105,군,경남,055-973-5422,의원,Y,52222
경남 거제시,두모길 16,1998-04-01 00:00:00,055-680-8412,34.8722413,128.7217033,대우병원,106,시,경남,055-680-8114,종합병원,Y,53317
경남 창원시,마산합포구 3·15대로 231,2000-07-01 00:00:00,055-249-1036,35.1988953,128.5662710,마산의료원,107,시,경남,055-249-1000,종합병원,Y,51264
제주도 서귀포시,장수로 47,1998-04-01 00:00:00,064-733-4320,33.2560963,126.5630644,서귀포의료원,108,시,제주,064-730-3160,종합병원,Y,63585
울산시 울주군,삼남읍 중평로 53,2007-02-01 00:00:00,052-255-7100,35.5596168,129.1205746,서울산보람병원,109,군,울산,052-255-7114,종합병원,Y,44948
울산시 남구,월평로171번길 13,1998-04-01 00:00:00,052-259-5145,35.5462090,129.3230784,울산병원,110,구,울산,052-259-5133,종합병원,Y,44686
제주도 제주시,아란13길 15,2002-01-01 00:00:00,064-717-1029,33.4670429,126.5457558,제주대학교병원,111,시,제주,064-717-1123,종합병원,Y,63241
제주도 제주시,도령로 65 (연동),2001-03-01 00:00:00,064-740-5676,33.4893203,126.4821751,제주한라병원,112,시,제주,064-740-5342,종합병원,Y,63127
경남 창원시,진해구 해원로32번길 13,2008-02-01 00:00:00,055-542-0174,35.1545448,128.6983452,연세에스병원,113,시,경남,055-548-7700,종합병원,Y,51659
강원도 원주시,일산로 20,1991-10-17 00:00:00,033-741-1190,37.3484690,127.9451839,원주세브란스기독병원,114,시,강원,033-741-0114,3차병원,Y,26426
경기도 고양시,일산서구 주화로 170,2000-07-01 00:00:00,031-910-7542,37.6742288,126.7503670,인제대학교 일산백병원,115,시,경기,031-910-7114,종합병원,Y,10380
인천시 강화군,강화읍 강화대로312번길 11,1991-01-01 00:00:00,032-933-8155,37.7433105,126.4954153,강화병원,116,군,인천,032-930-8151,병원,Y,23025
강원도 정선군,정선읍 봉양1길 145,2002-06-01 00:00:00,033-562-8110,37.3830173,128.6587563,근로복지공단 정선병원,117,군,강원,033-560-7100,병원,Y,26129
서울시 양천구,남부순환로 331 (신월동),2009-06-01 00:00:00,02-2690-7575,37.5373069,126.8277244,메디힐병원,118,구,서울,02-2604-7551,병원,Y,07905
서울시 관악구,남부순환로 1860 (봉천동),2009-01-01 00:00:00,02-880-0111,37.4837388,126.9426971,사랑의병원,119,구,서울,02-880-0114,병원,Y,08789
서울시 노원구,동일로 1678 (상계동),2009-01-01 00:00:00,02-933-0596,37.6587474,127.0635414,새서울연합의원,120,구,서울,02-930-5858,의원,Y,01625
경기도 의왕시,오전천로 29,2003-01-03 00:00:00,031-346-2888,37.3502461,126.9767752,아가페의료재단 시티병원,121,시,경기,031-340-0114,병원,Y,16060
경기도 양주시,회정로 103,2003-02-01 00:00:00,031-825-0073,37.8377357,127.0645178,양주예쓰병원,122,시,경기,031-825-5000,병원,Y,11451
경기도 양평군,양평읍 중앙로 129,1998-06-21 00:00:00,031-770-5555,37.4939802,127.5033376,양평병원,123,군,경기,031-770-5000,병원,Y,12550
경기도 남양주시,화도읍 경춘로 1943-16,2003-04-01 00:00:00,031-593-7985,37.6518762,127.3043556,원병원,124,시,경기,031-590-3114,병원,Y,12179
서울시 영등포구,당산로31길 10 (당산동3가),2009-01-01 00:00:00,02-2632-0722,37.5268013,126.8959163,(의)영등포병원,125,구,서울,02-2632-0013,병원,Y,07256
강원도 춘천시,금강로 39,2008-12-01 00:00:00,033-259-8107,37.8814112,127.7265589,인성병원,126,시,강원,033-253-3030,병원,Y,24272
강원도 인제군,인제읍 비봉로15번길 4,2002-07-03 00:00:00,033-463-2525,38.0678676,128.1733988,인제고려병원,127,군,강원,033-461-0088,병원,Y,24635
인천시 옹진군,백령면 백령로 233,1998-02-01 00:00:00,032-836-0118,37.9728415,124.7182710,인천광역시의료원 백령병원,128,군,인천,032-836-1731,병원,Y,23101
경기도 가평군,설악면 미사리로 267-177,2010-01-01 00:00:00,031-589-4494,37.6908251,127.5216892,HJ매그놀리아국제병원,129,군,경기,031-589-4300,병원,Y,12461
경기도 하남시,신평로 51 (신장동),2003-01-07 00:00:00,031-795-0013,37.5464019,127.2094750,햇살병원,130,시,경기,031-791-7330,병원,Y,12968
인천시 미추홀구,독배로 503 (숭의동),2009-01-01 00:00:00,032-888-7272,37.4506710,126.6473763,현대유비스병원,131,구,인천,032-890-5551,종합병원,Y,22173
강원도 원주시,상지대길 23,2010-01-01 00:00:00,033-742-3901,37.3691652,127.9388780,현대중앙병원,132,시,강원,033-747-1199,병원,Y,26342
강원도 횡성군,횡성읍 횡성로 275,2002-02-01 00:00:00,033-344-1199,37.4783172,127.9797883,횡성대성병원,133,군,강원,033-343-0901,병원,Y,25240
인천시 남동구,인주대로 806 (구월동),2009-01-01 00:00:00,032-438-9102,37.4492944,126.7252472,봄날요양병원,134,구,인천,032-464-9101,요양병원,Y,21588
서울시 성북구,"화랑로 271 (장위동, 동원베네스트)",2009-01-01 00:00:00,02-912-8088,37.6052866,127.0403349,(의)유라의료재단 온누리요양병원,135,구,서울,02-919-2700,요양병원,Y,02775
경기도 가평군,가평읍 가화로 75,2003-02-15 00:00:00,031-582-1722,37.8264472,127.5148617,가평성모의원,136,군,경기,031-582-1833,의원,Y,12420
서울시 용산구,백범로 51길 6,2006-01-01 00:00:00,02-716-2226,37.5397381,126.9607190,김내과의원,137,구,서울,02-703-2226,의원,Y,04318
서울시 서초구,효령로 396 (서초동),2006-01-01 00:00:00,02-3472-2804,37.4855461,127.0118012,김일중내과의원,138,구,서울,02-3473-1356,의원,Y,06727
서울시 마포구,독막로 22 (합정동),2006-01-01 00:00:00,02-334-5462,37.5467114,126.9328565,박상수내과의원,139,구,서울,02-332-5460,의원,Y,04072
서울시 노원구,동일로 1548 (상계동),2010-01-01 00:00:00,02-934-3075,37.6587474,127.0635414,밝은미래안과,140,구,서울,02-939-3075,의원,Y,01674
서울시 노원구,노해로 482 (상계동),2010-01-01 00:00:00,02-935-7365,37.6546090,127.0647926,노원삼성드림이비인후과의원,141,구,서울,02-935-1365,의원,Y,01751
강원도 양양군,양양읍 양양로 9-1,2006-03-01 00:00:00,033-672-6662,38.0783810,128.6271749,양양정형외과,142,군,강원,033-672-6722,의원,Y,25031
서울시 노원구,동일로 1401 (상계동),2010-01-01 00:00:00,02-930-0104,37.6676631,127.0580695,어비뇨기과,143,구,서울,02-930-0131,의원,Y,01762
서울시 금천구,"시흥대로 224,  4층",2006-01-01 00:00:00,02-809-5786,37.4537081,126.9015364,연세조내과의원,144,구,서울,02-803-2134,의원,Y,08628
경기도 연천군,전곡읍 은대성로 95,2001-03-01 00:00:00,031-839-4191,38.0233652,127.0612435,연천군보건의료원,145,군,경기,031-839-4001,의원,Y,11027
서울시 영등포구,영중로 46 (영등포동5가),2010-01-01 00:00:00,02-2069-0222,37.5293163,126.9051438,윤문수비뇨기과의원,146,구,서울,02-2069-0221,의원,Y,07250
경기도 광주시,퇴촌면 광동로 73-8,2010-01-01 00:00:00,031-766-6256,37.4708129,127.3108802,퇴촌중앙의원,147,시,경기,031-766-6211,의원,Y,12711
강원도 평창군,평창읍 종부로 61,2006-03-01 00:00:00,033-330-4809,37.3607053,128.3890248,평창군보건의료원,148,군,강원,033-332-4000,의원,Y,25377
서울시 서대문구,통일로 442 (홍제동),2006-01-01 00:00:00,02-379-3378,37.5830596,126.9475271,한양그린내과의원,149,구,서울,02-379-3377,의원,Y,03629
서울시 동대문구,사가정로 110 (전농동),2006-01-01 00:00:00,02-2244-9601,37.5770904,127.0618216,현대중앙의원,150,구,서울,02-2244-9600,의원,Y,02539
강원도 화천군,화천읍 강변로 111,2003-02-01 00:00:00,033-440-2899,38.1075314,127.7091133,화천군보건의료원,151,군,강원,033-442-4424,의원,Y,24119
서울시 영등포구,국제금융로 6길 33 6층,2010-01-01 00:00:00,02-6334-1100,37.5207606,126.9268930,제이씨빛소망안과,152,구,서울,02-785-1068,의원,Y,07321
강원도 강릉시,강릉대로419번길 42,1987-04-01 00:00:00,033-652-4276,37.7743397,128.9070484,강릉동인병원,153,시,강원,033-651-6167,종합병원,Y,25478
강원도 춘천시,백령로 156 (효자동),1999-01-01 00:00:00,033-258-2296,37.8700116,127.7404975,강원대학교병원,154,시,강원,033-258-2000,종합병원,Y,24289
경기도 포천시,포천로 1648,1999-12-22 00:00:00,031-539-9137,37.9031637,127.1981229,경기도립의료원 포천병원,155,시,경기,031-539-9114,종합병원,Y,11142
경기도 수원시,장안구 수성로245번길 69,1991-01-01 00:00:00,031-888-0588,37.2920141,126.9966460,경기도립의료원 수원병원,156,시,경기,031-888-0114,종합병원,Y,16316
경기도 안성시,고수2로 17 (당왕동),2003-01-09 00:00:00,031-8046-5566,37.0148856,127.2564024,경기도의료원 안성병원,157,시,경기,031-8046-5000,종합병원,Y,17572
경기도 의정부시,흥선로 142,1992-10-01 00:00:00,031-828-5021,37.7410385,127.0425242,경기도립의료원 의정부병원,158,시,경기,031-828-5000,종합병원,Y,11671
경기도 파주시,중앙로 207 (금촌동),2002-10-15 00:00:00,031-944-0909,37.7568413,126.7794836,경기도의료원 파주병원,159,시,경기,031-940-9100,종합병원,Y,10922
경기도 광명시,디지털로 36 (철산동),2002-05-16 00:00:00,02-2680-7755,37.4731549,126.8689551,광명성애병원,160,시,경기,02-2680-7114,종합병원,Y,14241
강원도 태백시,보드미길 8,1987-04-01 00:00:00,033-581-6394,37.1034236,129.0052780,근로복지공단 태백병원,161,시,강원,033-580-3114,종합병원,Y,26052
경기도 김포시,감암로 11,2002-08-01 00:00:00,031-999-1960,37.6323493,126.7107705,김포우리병원,162,시,경기,031-999-1231,종합병원,Y,10099
경기도 용인시,처인구 백옥대로1082번길 18,2011-02-14 00:00:00,031-8021-2009,37.2314675,127.2113666,(의)영문의료재단 다보스병원,163,시,경기,031-8021-2114,종합병원,Y,17063
경기도 수원시,팔달구 중부대로 165 (우만동),2003-03-03 00:00:00,031-210-0140,37.2780981,127.0363884,동수원병원,164,시,경기,031-210-0114,종합병원,Y,16494
강원도 동해시,하평로 26,1991-10-17 00:00:00,033-533-6119,37.5301401,129.1073994,동해동인병원,165,시,강원,033-530-0114,종합병원,Y,25751
인천시 부평구,부평대로 175,2001-08-16 00:00:00,032-509-5768,37.5073304,126.7189172,부평세림병원,166,구,인천,032-509-5750,종합병원,Y,21364
