code,cost,date_time,etc,gubun,h_code,incl_drugs,incl_goods,kind,kind_big,kind_mid,kind_small,max_cost,min_cost,name,pid
EB466010,97660,,급여 인정기준 외 실시한 경우 비급여,SEB46601,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)견관절(편측)Shoulder,38
EB465010,97660,,급여 인정기준 외 실시한 경우 비급여,SEB46501,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)고관절(편측)Hip,39
EB469010,151500,,급여 인정기준 외 실시한 경우 비급여,SEB46901,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)류마티스성질환3부위이상관절종합,40
EB462010,70790,,급여 인정기준 외 실시한 경우 비급여,SEB46201,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)발가락(편측)Toe,41
EB468010,97660,,급여 인정기준 외 실시한 경우 비급여,SEB46801,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)발목관절(편측)Ankle,42
EB461010,70790,,급여 인정기준 외 실시한 경우 비급여,SEB46101,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)손가락(편측),43
EB467010,97660,,급여 인정기준 외 실시한 경우 비급여,SEB46701,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)손목관절(편측)Wrist,44
EB464010,77990,,급여 인정기준 외 실시한 경우 비급여,SEB46401,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)슬관절(편측)Knee,45
EB463010,77990,,급여 인정기준 외 실시한 경우 비급여,SEB46301,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-(도플러)주관절(편측)Elbow,46
EB466,88780,,급여 인정기준 외 실시한 경우 비급여,SEB466,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-견관절(편측)Shoulder,47
EB465,88780,,급여 인정기준 외 실시한 경우 비급여,SEB465,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-고관절(편측)Hip,48
EB469,137730,,급여 인정기준 외 실시한 경우 비급여,SEB469,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-류마티스성질환3부위이상관절종합,49
EB462,64350,,급여 인정기준 외 실시한 경우 비급여,SEB462,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-발가락(편측)Toe,50
EB468,88780,,급여 인정기준 외 실시한 경우 비급여,SEB468,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-발목관절(편측)Ankle,51
EB461,64350,,급여 인정기준 외 실시한 경우 비급여,SEB461,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-손가락(편측),52
EB467,88780,,급여 인정기준 외 실시한 경우 비급여,SEB467,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-손목관절(편측)Wrist,53
EB464,70040,,급여 인정기준 외 실시한 경우 비급여,SEB464,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-슬관절(편측)Knee,54
EB463,70900,,급여 인정기준 외 실시한 경우 비급여,SEB463,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-관절-주관절(편측)Elbow,55
EB453010,98440,,급여 인정기준 외 실시한 경우 비급여,SEB45301,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-(도플러)음경 Penis,56
EB454010,98440,,급여 인정기준 외 실시한 경우 비급여,SEB45401,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-(도플러)음낭 Scrotum,57
EB452010,69660,,급여 인정기준 외 실시한 경우 비급여,SEB45201,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-(도플러)전립선·정낭(경복부로 실시),58
EB451010,125290,,급여 인정기준 외 실시한 경우 비급여,SEB45101,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-(도플러)전립선·정낭(경직장으로 실시),59
EB453,89490,,급여 인정기준 외 실시한 경우 비급여,SEB453,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-음경 Penis,60
EB454,89490,,급여 인정기준 외 실시한 경우 비급여,SEB454,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-음낭 Scrotum,61
EB452,63340,,급여 인정기준 외 실시한 경우 비급여,SEB452,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-전립선·정낭(경복부로 실시),62
EB451,113900,,급여 인정기준 외 실시한 경우 비급여,SEB451,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-남성생식기-전립선·정낭(경직장으로 실시),63
EB441010,132790,,급여 인정기준 외 실시한 경우 비급여,SEB44101,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(도플러)(일반)간·담낭·담도·비장·췌장,64
EB442010,197200,,급여 인정기준 외 실시한 경우 비급여,SEB44201,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(도플러)(정밀)간·담낭·담도·비장·췌장,65
EB445010,83750,,급여 인정기준 외 실시한 경우 비급여,SEB44501,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(도플러)서혜부 Inguinal region,66
EB444010,121300,,급여 인정기준 외 실시한 경우 비급여,SEB44401,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(도플러)소장·대장 Small Bowel·Colon,67
EB446010,142750,,급여 인정기준 외 실시한 경우 비급여,SEB44601,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(도플러)직장·항문 Rectum·Anus,68
EB443010,121200,,급여 인정기준 외 실시한 경우 비급여,SEB44301,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(도플러)충수 Appendix,69
EB441,120730,,급여 인정기준 외 실시한 경우 비급여,SEB441,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(일반)간·담낭·담도·비장·췌장,70
EB442,179280,,급여 인정기준 외 실시한 경우 비급여,SEB442,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(정밀)간·담낭·담도·비장·췌장,71
EB441020,155030,,급여 인정기준 외 실시한 경우 비급여,SEB44102,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(조영)(일반)간·담낭·담도·비장·췌장,72
EB442020,233050,,급여 인정기준 외 실시한 경우 비급여,SEB44202,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-(조영)(정밀)간·담낭·담도·비장·췌장,73
EB445,76140,,급여 인정기준 외 실시한 경우 비급여,SEB445,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-서혜부 Inguinal region,74
EB444,110280,,급여 인정기준 외 실시한 경우 비급여,SEB444,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-소장·대장 Small Bowel·Colon,75
EB446,129780,,급여 인정기준 외 실시한 경우 비급여,SEB446,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-직장·항문 Rectum·Anus,76
EB443,110190,,급여 인정기준 외 실시한 경우 비급여,SEB443,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-충수 Appendix,77
EB447,108140,,급여 인정기준 외 실시한 경우 비급여,SEB447,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-복부-항문초음파만 시행한 경우,78
EB416,60090,,급여 인정기준 외 실시한 경우 비급여,SEB416,N,N,N,진단초음파-흉부,행위,검사료,초음파 검사료,,,진단초음파-비·부비동 초음파,79
EB449010,96540,,급여 인정기준 외 실시한 경우 비급여,SEB44901,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-비뇨기계-(도플러)신장·부신,80
EB448010,106830,,급여 인정기준 외 실시한 경우 비급여,SEB44801,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-비뇨기계-(도플러)신장·부신·방광,81
EB450010,87090,,급여 인정기준 외 실시한 경우 비급여,SEB45001,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-비뇨기계-방광 Bladder(도플러),82
EB450,79160,,급여 인정기준 외 실시한 경우 비급여,SEB450,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-비뇨기계-방광 Bladder,83
EB449,87760,,급여 인정기준 외 실시한 경우 비급여,SEB449,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-비뇨기계-신장·부신,84
EB448,97110,,급여 인정기준 외 실시한 경우 비급여,SEB448,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-비뇨기계-신장·부신·방광,85
EB501,195430,,급여 인정기준 외 실시한 경우 비급여,SEB501,N,N,N,진단초음파-신경,행위,검사료,초음파 검사료,,,진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계,86
EB502,195430,,급여 인정기준 외 실시한 경우 비급여,SEB502,N,N,N,진단초음파-신경,행위,검사료,초음파 검사료,,,진단초음파-신경-(만1세미만소아 척수)중추신경계,87
EB504,152050,,급여 인정기준 외 실시한 경우 비급여,SEB504,N,N,N,진단초음파-신경,행위,검사료,초음파 검사료,,,진단초음파-신경-(사지신경 종합검사)말초신경 초음파,88
EB503,58290,,급여 인정기준 외 실시한 경우 비급여,SEB503,N,N,N,진단초음파-신경,행위,검사료,초음파 검사료,,,진단초음파-신경-말초신경 초음파(편측),89
EB431,110740,,급여 인정기준 외 실시한 경우 비급여,SEB431,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-(단순)경흉부심초음파,90
EB430,104880,,급여 인정기준 외 실시한 경우 비급여,SEB430,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파,91
EB434,515510,,급여 인정기준 외 실시한 경우 비급여,SEB434,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-(약물)부하심초음파,92
EB435,490150,,급여 인정기준 외 실시한 경우 비급여,SEB435,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-(운동)부하심초음파,93
EB432,174790,,급여 인정기준 외 실시한 경우 비급여,SEB432,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-(일반)경흉부심초음파,94
EB433,254860,,급여 인정기준 외 실시한 경우 비급여,SEB433,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-(전문)경흉부심초음파,95
EB436,382980,,급여 인정기준 외 실시한 경우 비급여,SEB436,N,N,N,진단초음파-심장,행위,검사료,초음파 검사료,,,진단초음파-심장-태아정밀 심초음파,96
EB411,90630,,급여 인정기준 외 실시한 경우 비급여,SEB411,N,N,N,진단초음파-두경부,행위,검사료,초음파 검사료,,,진단초음파-안-안구,97
EB412,90630,,급여 인정기준 외 실시한 경우 비급여,SEB412,N,N,N,진단초음파-두경부,행위,검사료,초음파 검사료,,,진단초음파-안-안와,98
EB455010,112660,,급여 인정기준 외 실시한 경우 비급여,SEB45501,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-여성생식기-(도플러)일반,99
EB457010,165080,,급여 인정기준 외 실시한 경우 비급여,SEB45701,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-여성생식기-(도플러)정밀,100
EB455,102410,,급여 인정기준 외 실시한 경우 비급여,SEB455,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-여성생식기-일반,101
EB456,131010,,급여 인정기준 외 실시한 경우 비급여,SEB456,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우,102
EB457,150080,,급여 인정기준 외 실시한 경우 비급여,SEB457,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-여성생식기-정밀,103
EB470010,70790,,급여 인정기준 외 실시한 경우 비급여,SEB47001,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-연부조직-(도플러)일반,104
EB471010,90930,,급여 인정기준 외 실시한 경우 비급여,SEB47101,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-연부조직-(도플러)정밀,105
EB470,64350,,급여 인정기준 외 실시한 경우 비급여,SEB470,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-연부조직-일반,106
EB471,82660,,급여 인정기준 외 실시한 경우 비급여,SEB471,N,N,N,"진단초음파-근골격,연부",행위,검사료,초음파 검사료,,,진단초음파-연부조직-정밀,107
EB516,147580,,급여 인정기준 외 실시한 경우 비급여,SEB516,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,"진단초음파-임산부-(고위험임신)제2,3삼분기",108
EB514,183530,,급여 인정기준 외 실시한 경우 비급여,SEB514,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,진단초음파-임산부-(기형아정밀계측)제1삼분기,109
EB518,285010,,급여 인정기준 외 실시한 경우 비급여,SEB518,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,"진단초음파-임산부-(기형아정밀계측)제2,3삼분기",110
EB511010,88210,,급여 인정기준 외 실시한 경우 비급여,SEB51103,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,진단초음파-임산부-(도플러)(일반)제1삼분기,111
EB511,80200,,급여 인정기준 외 실시한 경우 비급여,SEB511,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,진단초음파-임산부-(일반)제1삼분기,112
EB515,113530,,급여 인정기준 외 실시한 경우 비급여,SEB515,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,"진단초음파-임산부-(일반)제2,3삼분기",113
EB512,54430,,급여 인정기준 외 실시한 경우 비급여,SEB512,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,진단초음파-임산부-(임신여부만 확인)제1삼분기,114
EB513,143110,,급여 인정기준 외 실시한 경우 비급여,SEB513,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,진단초음파-임산부-(정밀)제1삼분기,115
EB517,243290,,급여 인정기준 외 실시한 경우 비급여,SEB517,N,N,N,진단초음파-임산부,행위,검사료,초음파 검사료,,,"진단초음파-임산부-(정밀)제2,3삼분기",116
EB482,109080,,급여 인정기준 외 실시한 경우 비급여,SEB482,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(경동맥)두개외 혈관 도플러,117
EB483,57250,,급여 인정기준 외 실시한 경우 비급여,SEB483,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(기타 동맥)두개외 혈관 도플러,118
EB486,45240,,급여 인정기준 외 실시한 경우 비급여,SEB486,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러,119
EB484,87880,,급여 인정기준 외 실시한 경우 비급여,SEB484,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(상지-동맥)사지혈관 도플러,120
EB485,87880,,급여 인정기준 외 실시한 경우 비급여,SEB485,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(상지-정맥)사지혈관 도플러,121
EB489,156290,,급여 인정기준 외 실시한 경우 비급여,SEB489,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러,122
EB487,139160,,급여 인정기준 외 실시한 경우 비급여,SEB487,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(하지-동맥)사지혈관 도플러,123
EB488,139160,,급여 인정기준 외 실시한 경우 비급여,SEB488,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-(하지-정맥)사지혈관 도플러,124
EB481,127780,,급여 인정기준 외 실시한 경우 비급여,SEB481,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-뇌혈류,125
EB490,84760,,급여 인정기준 외 실시한 경우 비급여,SEB490,N,N,N,진단초음파-혈관,행위,검사료,초음파 검사료,,,진단초음파-혈관-대동맥 도플러,126
EB422010,93280,,급여 인정기준 외 실시한 경우 비급여,SEB42201,N,N,N,진단초음파-흉부,행위,검사료,초음파 검사료,,,진단초음파-흉부-(도플러)유방·액와부 제외한 흉부 초음파,127
EB421010,134860,,급여 인정기준 외 실시한 경우 비급여,SEB42101,N,N,N,진단초음파-흉부,행위,검사료,초음파 검사료,,,진단초음파-흉부-(도플러)유방·액와부 초음파,128
EB422,84790,,급여 인정기준 외 실시한 경우 비급여,SEB422,N,N,N,진단초음파-흉부,행위,검사료,초음파 검사료,,,진단초음파-흉부-유방·액와부 제외한 흉부 초음파,129
EB421,122600,,급여 인정기준 외 실시한 경우 비급여,SEB421,N,N,N,진단초음파-흉부,행위,검사료,초음파 검사료,,,진단초음파-흉부-유방·액와부 초음파,130
,90000,,,SZ08200,N,,,초음파 검사료,행위,초음파 검사료,,,,초음파영상-검사 유도목적 초음파하양수천자술,131
,30000,,,SZ09301,N,,,초음파 검사료,행위,초음파 검사료,,,,"초음파영상-검사 유도목적/근골격계초음파,간단",132
,120000,,,SZ09302,N,,,초음파 검사료,행위,초음파 검사료,,,,"초음파영상-검사 유도목적/근골격계초음파,복잡",133
EZ991,400000,,,SZ09401,N,N,N,초음파 검사료,행위,검사료,초음파 검사료,,,특수초음파-기관지내시경초음파/기관지내시경초음파검사,134
EZ991,650000,,재료대별도산정,SZ09402,N,N,N,초음파 검사료,행위,검사료,초음파 검사료,,,특수초음파-기관지내시경초음파/기관지내시경초음파를 이용한 세침흡인술,135
,200000,,,SZ06201,N,,,초음파 검사료,행위,초음파 검사료,,,,특수초음파-내시경초음파/초음파 내시경검사,136
,250000,,,SZ06202,N,,,초음파 검사료,행위,초음파 검사료,,,,특수초음파-내시경초음파/초음파 내시경검사 [Miniprobe 이용],137
,80000,,,SZ06302,N,,,초음파 검사료,행위,초음파 검사료,,,,특수초음파-내시경초음파/초음파 내시경검사 직장 [중부],138
,40000,,,SZ06304,N,,,초음파 검사료,행위,초음파 검사료,,,,특수초음파-내시경초음파/초음파 내시경검사(항문),139
EB610,104880,,급여 인정기준 외 실시한 경우 비급여,SEB610,N,N,N,특수초음파-심장,행위,검사료,초음파 검사료,,,특수초음파-심장-(선천성심질환에검사 별도산정)경식도 심초음파,140
EB611,487710,,급여 인정기준 외 실시한 경우 비급여,SEB611,N,N,N,특수초음파-심장,행위,검사료,초음파 검사료,,,특수초음파-심장-경식도 심초음파,141
EB612,536490,,급여 인정기준 외 실시한 경우 비급여,SEB612,N,N,N,특수초음파-심장,행위,검사료,초음파 검사료,,,특수초음파-심장-심장내 초음파,142
EZ994,200000,,,RHZ00100,N,,,초음파 검사료,행위,초음파 검사료,,,,특수초음파-혈관내초음파,143
,470564,,,LWZ0014,N,,,검사료,행위,검사료,,,,CHROMOSOM(AF)양수검사,144
EZ775,50000,,,HZOS00300,N,,,"기능 검사료(외피, 근골 기능 검사)",행위,검사료,,,,관절계를 이용한 무릎관절인대검사,145
E7801,50000,,,SE7801,N,,,기능검사료(시기능검사),행위,검사료,,,,눈의 계측검사[편측]-레이저 간섭계 이용,146
E7800,50000,,,SE7800,N,,,기능검사료(시기능검사),행위,검사료,,,,눈의 계측검사[편측]-초음파 이용 by Ultrasonography,147
FZ702,523660,,,SZ10806,N,Y,Y,검사료,행위,검사료,,,,다중수면잠복기검사,148
EZ868,30000,,,SZ07201,N,,,기능검사료(순환기 기능검사),행위,검사료,,,,동맥경화도검사(맥파전달속도측정)-초음파 동맥경화협착폐색검사 [1부위],149
EZ868,50000,,,SZ0098,N,,,기능검사료(순환기 기능검사),행위,검사료,,,,동맥경화도검사(맥파전달속도측정)-초음파 동맥경화협착폐색검사 [2부위],150
FZ731,50000,,,FZ00300,N,,,기능 검사료(평형 및 청각 기능검사),행위,검사료,,,,동적체평형검사,151
FZ688,50000,,,SZ10802,N,,,기능 검사료(신경계기능검사),행위,검사료,,,,발음 및 발성검사,152
FZ733,100000,,,SZ01503,N,N,N,기능 검사료(평형 및 청각 기능검사),행위,검사료,,,,비디오전기안진검사-비디오 전기 안진 안구 운동검사 [정밀],153
FZ733,50000,,,SZ01601,N,,,기능 검사료(평형 및 청각 기능검사),행위,검사료,,,,비디오전기안진검사-비디오 전기 안진 자발안진검사(Spontaneous Nystagmus),154
FZ733,50000,,,SZ01602,N,N,N,기능 검사료(평형 및 청각 기능검사),행위,검사료,,,,비디오전기안진검사-비디오 전기 안진검사 급속안구운동(단속운동검사:Saccade test),155
